seed,winner,chain_bic,triangle_bic,delta_bic_triangle_minus_chain,chain_heldout_rmse,triangle_heldout_rmse,surface_star_heldout_rmse,deep_star_heldout_rmse,triangle_shortcut_conductance,optimizer_all_converged,optimizer_min_accepted_starts,optimizer_max_optimality,optimizer_max_scaled_optimality,triangle_shortcut_at_lower_bound
20260801,chain,-4314.15917740581,-4308.51244731479,5.64673009101989,0.0004738503024037865,0.0004521921171790367,0.0067199982638681596,0.02514680034901813,0.00186046104560765,True,10,0.09933086848156132,2.2108474127240374e-05,False
20260802,chain,-4327.077194193596,-4321.173738846559,5.903455347037379,0.00024950129170836196,0.0002453565900704314,0.00678575770745146,0.02524481817455585,0.0003354626279025121,True,9,0.11311203283712504,3.007602543604758e-05,True
20260803,chain,-4306.412194085306,-4300.541639604222,5.870554481083673,0.00035718872057540407,0.0003644043973734039,0.006953270185958923,0.02528521048315204,0.0005028294743973165,True,10,0.09891583078872399,2.10493979180062e-05,False
20260804,chain,-4286.812844551059,-4280.890762212501,5.922082338558539,0.0002123428422470265,0.00021356960346598393,0.006868785188257153,0.02527246836716485,0.0003354626279025121,True,10,0.1174268119439713,2.2858384399486153e-05,True
20260805,chain,-4305.97542374881,-4299.991721724872,5.98370202393744,0.00010187048691373885,9.928802191196399e-05,0.006838540082051373,0.025222752753326225,0.00033546262790252107,True,10,0.12302441280197998,2.351119530518908e-05,True
20260806,chain,-4337.48599794623,-4331.3522631722535,6.133734773976357,0.0001536419431850384,0.00015844080654707555,0.006912944397628286,0.025171263394492084,0.0003354626279025121,True,10,0.0929908190859491,2.509316257946059e-05,True
20260807,chain,-4325.365791915842,-4319.247973715316,6.117818200526017,0.00014686422287359498,0.00014674857149952697,0.006836682237138739,0.025138887901641423,0.0003354626279025121,True,10,0.09346890573163325,3.091410361223689e-05,True
20260808,chain,-4314.29423455345,-4308.117832312804,6.176402240645984,0.0003128856324167351,0.0003170320160055261,0.006997833240553389,0.025249723355854136,0.000335462627902617,True,10,0.10644602670165661,2.177611081609713e-05,True
20260809,chain,-4310.979661205256,-4305.344197676298,5.635463528958098,0.00016837221643964292,0.00020921338163501767,0.006868850266902151,0.025232917661529037,0.0018528734256608665,True,10,0.10342304481468628,2.2268691708390182e-05,False
20260810,chain,-4294.291867733263,-4288.301610733947,5.990256999315534,0.0003154333713107945,0.0003107831631036313,0.006765769247140786,0.02516146732481594,0.0003354626279266387,True,10,0.1274686430880051,2.7854967353942275e-05,True
20260811,chain,-4297.8131154583525,-4294.54015020026,3.2729652580928814,0.0003342242821030789,0.0003566715032534242,0.0067451048198324615,0.025310080139118025,0.006163702695054268,True,9,0.09593202430395885,2.319679893773742e-05,False
20260812,chain,-4323.919571473215,-4317.806783506024,6.112787967191252,0.0005987924845538181,0.0006025683842818815,0.007012503519507551,0.025123516912980398,0.0003354626279198576,True,9,0.10093530459633424,2.202660380861604e-05,True
20260813,chain,-4291.996750912287,-4285.925805528168,6.070945384119113,0.00039677589742935634,0.0003915555395983513,0.006784411315072653,0.025201789423642502,0.0003354626279025622,True,10,0.09632827615560983,1.9684648432762522e-05,True
20260814,chain,-4283.865532415427,-4278.021991426134,5.8435409892927055,6.893722279159578e-05,7.1985070410126e-05,0.006825191800949037,0.025233897084454362,0.0008234791357323921,True,10,0.09284843563152685,2.0530660322796084e-05,False
20260815,chain,-4371.796054108683,-4367.1354952720785,4.66055883660465,0.0003844607441776438,0.0004370809970217251,0.006834284014248858,0.025137564025748765,0.003725955975891372,True,11,0.09823485673997222,1.693885758545334e-05,False
20260816,chain,-4379.474995622693,-4373.841340437106,5.633655185587486,0.00014316078641303244,0.0001773912466472761,0.006847011703555829,0.02519773152480612,0.001697530988896152,True,10,0.100199663531025,2.052139697614735e-05,False
20260817,chain,-4379.425705931258,-4373.483054367386,5.94265156387155,0.0002692436827787765,0.00026424903844335883,0.0067713920685042,0.025186399049363498,0.0003354626279025121,True,10,0.09194930436525701,2.142281279977639e-05,True
20260818,chain,-4305.579749059906,-4300.77638894201,4.803360117895863,0.000506051211716392,0.0004642042816483107,0.006702424506160925,0.02527103450783793,0.003994799855311208,True,10,0.09581995282289146,2.5959360724833352e-05,False
20260819,chain,-4280.296783222624,-4274.443266770199,5.853516452424628,0.0001956389780647196,0.00020815340273137276,0.006877970781033237,0.02522005652306055,0.0007220489235093203,True,10,0.11799132147033169,2.2466606060147473e-05,False
20260820,chain,-4349.353545891552,-4344.691837912399,4.661707979153107,0.0002543312753684291,0.0002865602715785903,0.006798027570251812,0.02530481453068153,0.003902564122938319,True,10,0.11761323899958266,1.9831891548678007e-05,False
20260821,chain,-4292.404890164819,-4288.100366282663,4.304523882155991,0.00012536514006238983,0.00020673237426415545,0.00676930881573745,0.025214506558475815,0.004787489220482143,True,10,0.09553385254013785,2.2517331820378545e-05,False
20260822,chain,-4331.520715474032,-4325.396951653375,6.123763820656677,0.00017690955469286867,0.00018208750451343585,0.006939884381544945,0.025201398020823867,0.0003354626279025121,True,10,0.09639006417533925,2.3492799759514386e-05,True
20260823,chain,-4343.074316934866,-4337.984100191133,5.090216743733436,0.00031429014193175086,0.0002942207534980651,0.00675187142840013,0.02526567161144854,0.0032145329669845393,True,9,0.09972235873655032,3.1930296339797015e-05,False
20260824,chain,-4266.1380197258495,-4260.586734928604,5.5512847972458985,0.0002459508576557701,0.0002265638462926117,0.0067577183324288,0.025211764703426103,0.0023255001100173523,True,9,0.10162310750460515,2.4967211254013835e-05,False
20260825,chain,-4299.722581901824,-4294.693512138464,5.029069763359985,0.00021111779322202423,0.00029190186505091844,0.006854104701764876,0.025260577509947944,0.0034482791956161455,True,10,0.09582470142021024,2.136265233324542e-05,False
20260826,chain,-4335.735887659672,-4331.058271750753,4.677615908918597,0.0002550873118187862,0.0003362813636754769,0.006842920078341965,0.02518707571334136,0.0038907566342018564,True,10,0.09916205334265134,1.6815551351698466e-05,False
20260827,chain,-4355.945334050507,-4350.163619697018,5.781714353489406,7.603513162337634e-05,0.00010043379514115482,0.006841748437796241,0.025206271729769577,0.0011400846156285453,True,10,0.10186501958956752,2.014246772366608e-05,False
20260828,chain,-4296.597339551239,-4290.809305850556,5.788033700683627,0.0002206117139166793,0.00020531657198918164,0.006780892029780503,0.02521311658426358,0.001223740758444314,True,9,0.10463584592162402,3.395971875537828e-05,False
20260829,chain,-4344.707991817839,-4338.639458453927,6.068533363912138,0.00023727483946181863,0.00023292954327369515,0.00678150264295877,0.025167083672670135,0.00033546262790255235,True,9,0.0568555253089082,2.9934538618571102e-05,True
20260830,chain,-4316.275791472676,-4310.374267688592,5.90152378408402,0.0002027015816114813,0.00020275745172634133,0.006830144877939018,0.025154138678206425,0.0003354626279025121,True,10,0.10027200985983611,2.183459030270873e-05,True
20260831,chain,-4292.159213255589,-4287.499433949611,4.659779305978191,0.0003037593314034124,0.00034275639506647335,0.006804459099546877,0.025324626993731687,0.004213032501608489,True,10,0.1103195395367572,2.0099491262085992e-05,False
20260832,chain,-4305.7709941599205,-4301.153785501248,4.617208658672098,8.527260134618753e-05,0.0001914565612874773,0.006788448107163071,0.025255837545195173,0.00419339217228312,True,9,0.11085278647371112,2.0492986579683427e-05,False
20260833,chain,-4318.6004155593755,-4313.075093771371,5.525321788004476,0.00042812474499665594,0.0004017695644132879,0.006691138443148446,0.025192100471803258,0.0022492959063501352,True,10,0.1105835507859923,3.691264216862624e-05,False
20260834,chain,-4281.699413843952,-4275.854304173604,5.845109670348393,0.00018970918426652102,0.0001997811026854137,0.006861683890231709,0.025177191499757782,0.0008076622042582807,True,10,0.10125758730624823,1.7404683517316428e-05,False
20260835,chain,-4309.717105022647,-4303.501374997866,6.215730024780896,0.0001691657835403018,0.00017261681498229804,0.00694149816716193,0.025217941110488893,0.0003354626279025169,True,10,0.12023753863502418,2.4535575505914637e-05,True
20260836,chain,-4293.227190392936,-4289.8794566224915,3.3477337704443926,3.896225285731678e-05,0.00026370530179048,0.006792318972026029,0.02523802636807758,0.006024144762907151,True,9,0.09691080488448613,2.0107319894958527e-05,False
20260837,chain,-4291.51031926562,-4285.521492099265,5.988827166354895,7.06857976143822e-05,7.289022682701858e-05,0.006854883026990695,0.02518091774611419,0.00033546262792163344,True,10,0.10073853726046195,2.232804740828531e-05,True
20260838,chain,-4338.9206799484045,-4332.996039030686,5.924640917718534,0.0004372357185074458,0.000441605002465599,0.00694505808374838,0.025161927644926346,0.00033546262790259854,True,10,0.09767565200393577,1.8418446744897903e-05,True
20260839,chain,-4301.291672816206,-4298.33207932505,2.9595934911567383,0.0001647600357225175,0.0002624095715942129,0.006725373175145944,0.025234042260202597,0.0064052102930141136,True,10,0.11321185803282212,2.8259021179129453e-05,False
20260840,chain,-4326.032047974353,-4321.795958782931,4.236089191422252,6.332131854558371e-05,0.00019705350043674173,0.006784548751679129,0.025222166835297564,0.004657675301747763,True,9,0.09695565929200001,2.4824184079953664e-05,False
20260841,chain,-4337.843204678313,-4332.042669265456,5.800535412856334,0.0003917658153781234,0.00040619639352636324,0.006910380960226532,0.025156891684960575,0.0010507283168629546,True,10,0.09959455972346151,1.7609313511673216e-05,False
20260842,chain,-4251.697703853241,-4245.709620626844,5.988083226397066,0.00015363867341439203,0.00014908908985532965,0.0068114869971848515,0.025196035468484628,0.00033546262791162945,True,10,0.11639430314506978,3.088953067836912e-05,True
20260843,chain,-4290.425723032807,-4284.316172403866,6.109550628940269,0.00025756730579198364,0.00025511122845058156,0.006865152890404342,0.02525004451899399,0.0003354626279084631,True,10,0.118516353409658,2.5227677924616394e-05,True
20260844,chain,-4316.847115020503,-4311.665890234711,5.181224785792438,0.00014500059689028698,0.0002229245659514616,0.0068482161632304,0.025254450593347123,0.0030704578646557016,True,10,0.09870591348685125,2.3323949957562554e-05,False
20260845,chain,-4315.321911128158,-4310.628747029228,4.693164098929628,0.0001909358095335153,0.00026738083697736063,0.006791103303597944,0.025177597711218906,0.003987356249695718,True,11,0.11768160542781751,2.0332032986918282e-05,False
20260846,chain,-4278.166147001209,-4271.977162023158,6.188984978050939,0.00036795122943889214,0.00037228469118353225,0.0069977587635461375,0.025194099503828834,0.0003354626279027499,True,9,0.10359961913302224,2.6719384472923184e-05,True
20260847,chain,-4287.8672935872755,-4282.148693702763,5.718599884512514,0.0003750271355658869,0.0003547961665257995,0.006713693033341122,0.02518836937613949,0.0016075604106378387,True,10,0.118279847173929,1.94606033549869e-05,False
20260848,chain,-4303.9636935920125,-4297.851979264492,6.111714327520531,0.00038851935451017733,0.00038525568602985785,0.006825681193037577,0.025265225615596163,0.000335462627902522,True,10,0.09345569731632179,2.665588322516426e-05,True
