source_id,title,authors_or_group,record_date,venue_or_record,canonical_url,identifier,record_status,rights_status,role,source_bytes_archived,alias_of,notes
S001,"Dark Matter and Dark Radiation","Ackerman; Buckley; Carroll; Kamionkowski",2008,arXiv,https://arxiv.org/abs/0810.5126,arXiv:0810.5126,preprint_record,citation_only_no_reuse,dark_plasma_prior_art,false,,No article bytes redistributed.
S002,"The Cosmology of Atomic Dark Matter","Cyr-Racine; Sigurdson",2013,Physical Review D,https://doi.org/10.1103/PhysRevD.87.103515,10.1103/PhysRevD.87.103515,version_of_record,citation_only_no_reuse,atomic_dark_sector_prior_art,false,,No article bytes redistributed.
S003,"Theory of Dark Matter Superfluidity","Berezhiani; Khoury",2015,arXiv,https://arxiv.org/abs/1507.01019,arXiv:1507.01019,preprint_record,citation_only_no_reuse,condensate_prior_art,false,,No article bytes redistributed.
S004,"Gravity with a Dynamical Preferred Frame","Jacobson; Mattingly",2001,Physical Review D,https://doi.org/10.1103/PhysRevD.64.024028,10.1103/PhysRevD.64.024028,version_of_record,citation_only_no_reuse,preferred_frame_prior_art,false,,No article bytes redistributed.
S005,"Constraints on Einstein-aether theory after GW170817","Oost; Mukohyama; Wang",2018,arXiv,https://arxiv.org/abs/1802.04303,arXiv:1802.04303,preprint_record,citation_only_no_reuse,preferred_frame_constraint,false,,No article bytes redistributed.
S006,"Planck 2018 Results VI Cosmological Parameters","Planck Collaboration",2020,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201833910,10.1051/0004-6361/201833910,version_of_record,citation_only_no_reuse,cosmological_inventory,false,,No article bytes redistributed.
S007,"The baryon density of the Universe from an improved rate of deuterium burning","Mossa et al.",2020,Nature,https://doi.org/10.1038/s41586-020-2878-4,10.1038/s41586-020-2878-4,version_of_record,citation_only_no_reuse,baryon_density_constraint,false,,No article bytes redistributed.
S008,"Dark plasmas in the nonlinear regime Constraints from particle-in-cell simulations","DeRocco; Giffin",2025,Physical Review D,https://doi.org/10.1103/PhysRevD.111.095031,10.1103/PhysRevD.111.095031,version_of_record,citation_only_no_reuse,nonlinear_dark_plasma_constraint,false,,No article bytes redistributed.
S009,"Dark Matter-Electron Scattering in Dielectrics","Knapen; Kozaczuk; Lin",2021,arXiv,https://arxiv.org/abs/2101.08275,arXiv:2101.08275,preprint_record,citation_only_no_reuse,dynamical_structure_factor_method,false,,No article bytes redistributed.
S010,"Search for dark matter particle interactions in an extended nuclear recoil energy window with the LUX-ZEPLIN experiment","LUX-ZEPLIN Collaboration",2026,collaboration_preprint,https://lz.lbl.gov/wp-content/uploads/sites/6/2026/08/LZ_Preprint_260901_Dark_Matter_EFT_Nuclear_Recoil_Search_at_Higher_Energies.pdf,,collaboration_preprint,citation_only_no_reuse,direct_detection_case,false,,URL and status should be refreshed if a version of record appears.
S011,"A Direct Empirical Proof of the Existence of Dark Matter","Clowe et al.",2006,Astrophysical Journal Letters,https://doi.org/10.1086/508162,10.1086/508162,version_of_record,citation_only_no_reuse,merger_lensing_benchmark,false,,Title is historical source wording; the atlas does not inherit its proof language.
S012,"A census of baryons in the Universe from localized fast radio bursts","Macquart et al.",2020,Nature,https://doi.org/10.1038/s41586-020-2300-2,10.1038/s41586-020-2300-2,version_of_record,citation_only_no_reuse,baryon_census,false,,No article bytes redistributed.
S013,"Particle Creation in a Cosmological Background in Analogy to the Schwinger Effect","van Suijlekom; Wondrak; Falcke",2026,Communications in Mathematical Physics,https://doi.org/10.1007/s00220-026-05700-7,10.1007/s00220-026-05700-7,version_of_record,citation_only_no_reuse,temporal_path_memory_calibration,false,,Conditional prescribed-background field-theory result; no observation or dark-matter claim.
S014,"Comparison of the Arrhenius parameters between conventional hydrothermal and microwave-assisted synthesis methods for tin oxide nanoparticles","Chen et al.",2026,Journal of Materials Chemistry A,https://doi.org/10.1039/D5TA10373H,10.1039/D5TA10373H,version_of_record,citation_only_no_reuse,parameter_compensation_calibration,false,,Comparative apparent parameters; local thermometry unresolved.
S015,"JWST and Gemini Observations of the Active Centaur 450P LONEOS Nucleus and Coma Characterizations","Schambeau et al.",2026,The Planetary Science Journal,https://doi.org/10.3847/PSJ/ae685c,10.3847/PSJ/ae685c,version_of_record,citation_only_no_reuse,event_memory_observation_chain,false,,Post-July-2026 forecast status was not independently refreshed.
S016,"Semi-major Axis Jumps as the Activity Trigger in Centaurs and High-Perihelion Jupiter Family Comets","Lilly et al.",2024,The Astrophysical Journal Letters,https://doi.org/10.3847/2041-8213/ad1606,10.3847/2041-8213/ad1606,version_of_record,citation_only_no_reuse,centaur_population_context,false,,Selection-aware causal inference remains limited.
S017,"Switching gravity on and off leaves particles behind mathematical model finds","Phys.org",2026,science_news,https://phys.org/news/2026-09-gravity-particles-mathematical.html,,secondary_summary,citation_only_no_reuse,user_supplied_discovery_route,false,S013,"Not used as primary scientific authority."
S018,"Watching nanoparticles form in real time uncovers missing link in microwave-assisted manufacturing","Phys.org",2026,science_news,https://phys.org/news/2026-09-nanoparticles-real-uncovers-link-microwave.html,,secondary_summary,citation_only_no_reuse,user_supplied_discovery_route,false,S014,"Not used as primary scientific authority."
S019,"Saturn encounter may have set distant centaur on path to becoming a comet","Phys.org",2026,science_news,https://phys.org/news/2026-09-saturn-encounter-distant-centaur-path.html,,secondary_summary,citation_only_no_reuse,user_supplied_discovery_route,false,S015,"Not used as primary scientific authority."
