figure_number,figure_id,file_png,file_svg,visual_class,creator,source,license,source_width_px,source_height_px,source_aspect_ratio,placed_width_percent,placed_aspect_ratio,aspect_ratio_delta,crop,modifications,alt_text_or_caption
1,figure_01_repository_architecture,figures/figure_01_repository_architecture.png,figures/figure_01_repository_architecture.svg,MODEL,ASTRA / Jacko T.,Original ASTRA diagram or original numerical redraw for this candidate; scientific inputs are cited in the caption and manuscript.,CC BY 4.0 to the extent licensable rights exist,2730,1638,1.666667,96.0,1.666667,0.0,none,Fixed-canvas SVG authored with explicit safe margins; PNG rendered proportionally; labels wrapped; no nonuniform scaling or geometric warping.,"Current repository architecture and the proposed v1.0.8 candidate-admission boundary. The arrows denote review and candidate admission, not scientific endorsement or physical causation. Creator: ASTRA / Jacko T. Source: original vector model for this document. License: CC BY 4.0."
2,figure_14_endogenous_visibility,figures/figure_14_endogenous_visibility.png,figures/figure_14_endogenous_visibility.svg,MODEL,ASTRA / Jacko T.,Original ASTRA diagram or original numerical redraw for this candidate; scientific inputs are cited in the caption and manuscript.,CC BY 4.0 to the extent licensable rights exist,2730,1638,1.666667,94.0,1.666667,0.0,none,Fixed-canvas SVG authored with explicit safe margins; PNG rendered proportionally; labels wrapped; no nonuniform scaling or geometric warping.,Endogenous visibility. A hidden source drives a transducer whose changing state feeds back on the conversion into data. Independent measurements of the transducer state and altered observation protocols are required to separate source from medium. Creator: ASTRA / Jacko T. Source: original vector model for this candidate. License: CC BY 4.0.
3,figure_02_stateful_edge_architecture,figures/figure_02_stateful_edge_architecture.png,figures/figure_02_stateful_edge_architecture.svg,MODEL,ASTRA / Jacko T.,Original ASTRA diagram or original numerical redraw for this candidate; scientific inputs are cited in the caption and manuscript.,CC BY 4.0 to the extent licensable rights exist,2730,1638,1.666667,96.0,1.666667,0.0,none,Fixed-canvas SVG authored with explicit safe margins; PNG rendered proportionally; labels wrapped; no nonuniform scaling or geometric warping.,"Expanded state architecture. Physical state, mode/support, environment, and observation remain typed and feed a stateful-edge contract. The lower boxes separate dynamical rent, epistemic rent, and global certificate scope. Creator: ASTRA / Jacko T. Source: original vector model. License: CC BY 4.0."
4,figure_03_edge_contract,figures/figure_03_edge_contract.png,figures/figure_03_edge_contract.svg,MODEL,ASTRA / Jacko T.,Original ASTRA diagram or original numerical redraw for this candidate; scientific inputs are cited in the caption and manuscript.,CC BY 4.0 to the extent licensable rights exist,2808,1664,1.6875,98.0,1.6875,0.0,none,Fixed-canvas SVG authored with explicit safe margins; PNG rendered proportionally; labels wrapped; no nonuniform scaling or geometric warping.,The v1.0.8 candidate edge contract. A typed record is the minimum information required before an edge is inferred or promoted. It is not evidence that the edge exists. Creator: ASTRA / Jacko T. Source: original vector model. License: CC BY 4.0.
5,figure_04_nonreciprocity_closure,figures/figure_04_nonreciprocity_closure.png,figures/figure_04_nonreciprocity_closure.svg,MODEL,ASTRA / Jacko T.,Original ASTRA diagram or original numerical redraw for this candidate; scientific inputs are cited in the caption and manuscript.,CC BY 4.0 to the extent licensable rights exist,2730,1638,1.666667,94.0,1.666667,0.0,none,Fixed-canvas SVG authored with explicit safe margins; PNG rendered proportionally; labels wrapped; no nonuniform scaling or geometric warping.,"Effective nonreciprocity in an open, driven colloidal subsystem. Unequal particle-level attraction can generate pair translation while momentum and energy are exchanged with the fluid, field, and electrodes. This schematic does not reproduce the experiment's flow field and does not claim a fundamental violation of momentum conservation. Creator: ASTRA / Jacko T. Source: original vector model informed by Hara et al. License: CC BY 4.0."
6,figure_05_arrested_coarsening_model,figures/figure_05_arrested_coarsening_model.png,figures/figure_05_arrested_coarsening_model.svg,MODEL,ASTRA / Jacko T.,Original ASTRA diagram or original numerical redraw for this candidate; scientific inputs are cited in the caption and manuscript.,CC BY 4.0 to the extent licensable rights exist,2340,1352,1.730769,86.0,1.730769,0.0,none,Fixed-canvas SVG authored with explicit safe margins; PNG rendered proportionally; labels wrapped; no nonuniform scaling or geometric warping.,Conceptual distinction between reciprocal coarsening and a dynamically saturated nonreciprocal state. The trajectories are explanatory and are not fitted to Hara et al. Creator: ASTRA / Jacko T. Source: original model figure. License: CC BY 4.0.
7,figure_07_orr_reported_values,figures/figure_07_orr_reported_values.png,figures/figure_07_orr_reported_values.svg,OBSERVATION,ASTRA / Jacko T.,Original ASTRA diagram or original numerical redraw for this candidate; scientific inputs are cited in the caption and manuscript.,CC BY 4.0 to the extent licensable rights exist,2132,1274,1.673469,76.0,1.673469,0.0,none,Fixed-canvas SVG authored with explicit safe margins; PNG rendered proportionally; labels wrapped; no nonuniform scaling or geometric warping.,"Reported ORR potentials under the study conditions. The plot redraws three values from Redondo et al. and does not reproduce a journal figure. The abstract does not provide uncertainty bars for these values. It does not establish full-cell power density, durability, manufacturing cost, or commercial parity. Creator: ASTRA / Jacko T. Source data: Redondo et al. License for this redrawn chart: CC BY 4.0."
8,figure_06_catalyst_self_rewriting_edge,figures/figure_06_catalyst_self_rewriting_edge.png,figures/figure_06_catalyst_self_rewriting_edge.svg,MODEL,ASTRA / Jacko T.,Original ASTRA diagram or original numerical redraw for this candidate; scientific inputs are cited in the caption and manuscript.,CC BY 4.0 to the extent licensable rights exist,2730,1638,1.666667,92.0,1.666667,0.0,none,Fixed-canvas SVG authored with explicit safe margins; PNG rendered proportionally; labels wrapped; no nonuniform scaling or geometric warping.,A self-rewriting catalytic edge. Fast controlled strain and slower cycling-induced composition change jointly determine the ORR interface. The layer thickness and geometry are schematic; only the reported 5-10 nm Pt-enriched layer is numerically sourced. Creator: ASTRA / Jacko T. Source: original model informed by Redondo et al. License: CC BY 4.0.
9,figure_08_operator_stack,figures/figure_08_operator_stack.png,figures/figure_08_operator_stack.svg,MODEL,ASTRA / Jacko T.,Original ASTRA diagram or original numerical redraw for this candidate; scientific inputs are cited in the caption and manuscript.,CC BY 4.0 to the extent licensable rights exist,2808,1690,1.661538,98.0,1.661538,0.0,none,Fixed-canvas SVG authored with explicit safe margins; PNG rendered proportionally; labels wrapped; no nonuniform scaling or geometric warping.,"Unified ASTRA operator stack. The lower modules identify which successor method audits each segment. The stack is a typed inference architecture, not a claim that all domains share one carrier or constitutive law. Creator: ASTRA / Jacko T. Source: original vector model. License: CC BY 4.0."
10,figure_09_bridge_protocol,figures/figure_09_bridge_protocol.png,figures/figure_09_bridge_protocol.svg,MODEL,ASTRA / Jacko T.,Original ASTRA diagram or original numerical redraw for this candidate; scientific inputs are cited in the caption and manuscript.,CC BY 4.0 to the extent licensable rights exist,2730,1300,2.1,93.0,2.1,0.0,none,Fixed-canvas SVG authored with explicit safe margins; PNG rendered proportionally; labels wrapped; no nonuniform scaling or geometric warping.,Candidate promotion path. Failure at any gate produces defer or demote rather than reinterpretation. Creator: ASTRA / Jacko T. Source: original vector model based on the repository prototype. License: CC BY 4.0.
